veh id,manufacturer,nameplate,model,CVCM class,EPA class,fleet type,fuel type,footprint,baseline price,baseline mpg,baseline sales,predicted mpg,incremental price,,,,,,,,,,,,,,,,,
89,GENERAL MOTORS,Cadillac,STS AWD,4,MIDSIZE CARS,C,G,50.1,46954,24.15,6168,26.11," $3,997 ",,,,,,,,,,,,,,,,,
90,GENERAL MOTORS,Chevrolet,AVEO,8,COMPACT CARS,C,G,42.4,13782,34.39,34089,35.84, $318 ,,,,,,,,,,,,,,,,,
91,GENERAL MOTORS,Chevrolet,AVEO 5,7,SUBCOMPACT CARS,C,G,42.4,11783,34.89,21981,36.54," $2,467 ",,,,,,,,,,,,,,,,,
92,GENERAL MOTORS,Chevrolet,C15 Silverado 2WD 119WB,18,STANDARD PICKUP TRUCKS,T,G,55.9,23513,21.03,47038,21.87," $(2,663)",,,,,,,,,,,,,,,,,
93,GENERAL MOTORS,Chevrolet,C15 Silverado 2WD 133WB/134WB,18,STANDARD PICKUP TRUCKS,T,G,62.57903234,23583,21.18,47016,19.63," $(2,343)",,,,,,,,,,,,,,,,,
94,GENERAL MOTORS,Chevrolet,C15 Silverado 2WD 143WB,18,STANDARD PICKUP TRUCKS,T,G,67.4,24678,20.90,87487,21.26, $795 ,,,,,,,,,,,,,,,,,
95,GENERAL MOTORS,Chevrolet,C15 Silverado 2WD 157WB,18,STANDARD PICKUP TRUCKS,T,G,73.9,25220,21.10,4679,22.22," $2,215 ",,,,,,,,,,,,,,,,,
96,GENERAL MOTORS,Chevrolet,C1500 Avalanche 2WD,11,SUV,T,G,61,34894,20.29,17437,21.88," $3,936 ",,,,,,,,,,,,,,,,,
97,GENERAL MOTORS,Chevrolet,C1500 Suburban 2WD,11,SUV,T,G,61,40244,20.31,24823,21.88," $3,901 ",,,,,,,,,,,,,,,,,
98,GENERAL MOTORS,Chevrolet,C1500 Tahoe 2WD,11,SUV,T,G,54.4,37013,20.32,52460,22.01," $5,117 ",,,,,,,,,,,,,,,,,
99,GENERAL MOTORS,Chevrolet,C1500 Tahoe Hybrid 2WD,11,SUV,T,G,54.4,51500,28.21,2492,27.11, $(780),,,,,,,,,,,,,,,,,
100,GENERAL MOTORS,Chevrolet,Cobalt,7,SUBCOMPACT CARS,C,G,44.8,19840,33.28,173079,35.77," $(4,110)",,,,,,,,,,,,,,,,,
